YEAR  ACCESS-ESM1.5  CanESM5  CESM2  CNRM-ESM2-1  IPSL-CM6A-LR  MIROC-ES2L  MPI-ESM1.2-LR  NorESM2-LM  UKESM1-0-LL 
2080.00 291.1770 291.9150 290.6970 290.2630 290.1560 291.1540 289.7110 290.3110 291.3480  
2081.00 291.2480 292.0120 290.7580 290.3220 290.2350 291.2370 289.6840 290.1510 291.4570  
2082.00 291.1870 292.0940 290.7410 290.3640 290.3340 290.9650 289.7060 290.2700 291.4540  
2083.00 291.2630 292.1020 290.8520 290.4650 290.3950 290.9450 289.8080 290.4210 291.5960  
2084.00 291.3520 292.2010 290.8890 290.5690 290.5160 291.1510 289.8540 290.4560 291.6330  
2085.00 291.3410 292.2860 291.0720 290.5890 290.5510 291.4940 289.9370 290.3400 291.6800  
2086.00 291.3570 292.2890 291.1150 290.6190 290.5720 291.3300 289.9260 290.1340 291.7760  
2087.00 291.3510 292.4050 291.1980 290.7440 290.6490 291.0820 289.8670 290.2940 291.8380  
2088.00 291.4690 292.4310 291.0880 290.7530 290.6980 291.3190 289.8700 290.7590 291.8440  
2089.00 291.5310 292.4660 291.2170 290.7690 290.7570 291.7200 290.0040 290.6890 291.9280  
2090.00 291.4470 292.5570 291.2130 290.8800 290.8090 291.3600 290.0720 290.3420 292.0250  
2091.00 291.5150 292.6280 291.2570 290.9350 290.8390 291.2380 290.0550 290.4150 292.1350  
2092.00 291.6540 292.6950 291.3920 290.9390 290.9420 291.4280 290.0760 290.6870 292.1880  
2093.00 291.7670 292.7860 291.3890 291.1950 291.1110 291.6320 290.1050 290.5550 292.2540  
2094.00 291.8610 292.8400 291.5540 291.0700 291.1290 291.4090 290.1950 290.3160 292.3530  
2095.00 291.7840 292.8500 291.5250 291.2580 291.1570 291.3800 290.2240 290.3930 292.3770  
2096.00 291.8440 292.9490 291.4910 291.3430 291.2110 291.5670 290.2810 290.7250 292.4140  
2097.00 291.9940 293.0390 291.6360 291.1980 291.2510 291.8800 290.3400 290.8120 292.5210  
2098.00 291.9430 293.0760 291.7560 291.3370 291.3500 291.6170 290.3750 290.6780 292.6510  
2099.00 292.0890 293.1480 291.7940 291.4560 291.4720 291.3330 290.3380 290.8830 292.7350  
2100.00 292.1890 293.1910 291.8110 291.4470 291.4870 291.7100 290.3770 291.0860 292.7870  
